25/12/2017 18:00;Golden State Warriors;Cleveland Cavaliers
25/12/2017 20:30;Boston Celtics;Washington Wizards
25/12/2017 23:00;Oklahoma City Thunder;Houston Rockets
26/12/2017 01:30;Los Angeles Lakers;Minnesota Timberwolves
26/12/2017 22:00;Dallas Mavericks;Toronto Raptors
26/12/2017 22:00;Detroit Pistons;Indiana Pacers
26/12/2017 22:30;Miami Heat;Orlando Magic
26/12/2017 23:00;Milwaukee Bucks;Chicago Bulls
26/12/2017 23:30;San Antonio Spurs;Brooklyn Nets
27/12/2017 00:00;Denver Nuggets;Utah Jazz
27/12/2017 00:00;Phoenix Suns;Memphis Grizzlies
27/12/2017 01:30;Los Angeles Clippers;Sacramento Kings
27/12/2017 22:00;Charlotte Hornets;Boston Celtics
27/12/2017 22:00;Indiana Pacers;Dallas Mavericks
27/12/2017 22:30;Atlanta Hawks;Washington Wizards
27/12/2017 23:00;Chicago Bulls;New York Knicks
27/12/2017 23:00;Minnesota Timberwolves;Denver Nuggets
27/12/2017 23:00;New Orleans Pelicans;Brooklyn Nets
27/12/2017 23:00;Oklahoma City Thunder;Toronto Raptors
28/12/2017 01:00;Sacramento Kings;Cleveland Cavaliers
28/12/2017 01:30;Golden State Warriors;Utah Jazz
28/12/2017 01:30;Los Angeles Lakers;Memphis Grizzlies
28/12/2017 22:00;Orlando Magic;Detroit Pistons
28/12/2017 23:00;Boston Celtics;Houston Rockets
28/12/2017 23:00;Milwaukee Bucks;Minnesota Timberwolves
28/12/2017 23:30;San Antonio Spurs;New York Knicks
29/12/2017 01:30;Portland Trail Blazers;Philadelphia 76ers
29/12/2017 22:00;Washington Wizards;Houston Rockets
29/12/2017 22:30;Toronto Raptors;Atlanta Hawks
29/12/2017 23:00;Chicago Bulls;Indiana Pacers
29/12/2017 23:00;Miami Heat;Brooklyn Nets
29/12/2017 23:00;New Orleans Pelicans;Dallas Mavericks
29/12/2017 23:00;Oklahoma City Thunder;Milwaukee Bucks
30/12/2017 01:00;Sacramento Kings;Phoenix Suns
30/12/2017 01:30;Golden State Warriors;Charlotte Hornets
30/12/2017 01:30;Los Angeles Lakers;Los Angeles Clippers
30/12/2017 22:00;Detroit Pistons;San Antonio Spurs
30/12/2017 22:00;New Orleans Pelicans;New York Knicks
30/12/2017 22:00;Orlando Magic;Miami Heat
30/12/2017 22:30;Atlanta Hawks;Portland Trail Blazers
30/12/2017 23:00;Utah Jazz;Cleveland Cavaliers
30/12/2017 23:30;Golden State Warriors;Memphis Grizzlies
31/12/2017 00:00;Denver Nuggets;Philadelphia 76ers
31/12/2017 18:30;Washington Wizards;Chicago Bulls
31/12/2017 20:00;Indiana Pacers;Minnesota Timberwolves
31/12/2017 20:30;Boston Celtics;Brooklyn Nets
31/12/2017 22:00;Houston Rockets;Los Angeles Lakers
31/12/2017 22:00;Los Angeles Clippers;Charlotte Hornets
31/12/2017 22:00;Oklahoma City Thunder;Dallas Mavericks
31/12/2017 22:00;Sacramento Kings;Memphis Grizzlies
31/12/2017 23:00;Phoenix Suns;Philadelphia 76ers
01/01/2018 22:30;Brooklyn Nets;Orlando Magic
01/01/2018 22:30;Toronto Raptors;Milwaukee Bucks
01/01/2018 23:00;Chicago Bulls;Portland Trail Blazers
01/01/2018 23:00;Minnesota Timberwolves;Los Angeles Lakers
02/01/2018 22:00;Cleveland Cavaliers;Portland Trail Blazers
02/01/2018 22:30;New York Knicks;San Antonio Spurs
03/01/2018 00:00;Phoenix Suns;Atlanta Hawks
03/01/2018 01:00;Sacramento Kings;Charlotte Hornets
03/01/2018 01:30;Los Angeles Clippers;Memphis Grizzlies
03/01/2018 22:00;Orlando Magic;Houston Rockets
03/01/2018 22:00;Philadelphia 76ers;San Antonio Spurs
03/01/2018 22:00;Washington Wizards;New York Knicks
03/01/2018 22:30;Brooklyn Nets;Minnesota Timberwolves
03/01/2018 22:30;Miami Heat;Detroit Pistons
03/01/2018 23:00;Boston Celtics;Cleveland Cavaliers
03/01/2018 23:00;Chicago Bulls;Toronto Raptors
03/01/2018 23:00;Milwaukee Bucks;Indiana Pacers
03/01/2018 23:30;Dallas Mavericks;Golden State Warriors
